Date,Open,High,Low,Close,Volume
2001-05-06,1253.05,1272.93,1232,1266.61,3339055557
2001-05-13,1266.61,1270,1240.79,1245.67,2805888889
2001-05-20,1245.67,1296.48,1241.02,1291.96,3234277777
2001-05-27,1291.96,1315.93,1276.42,1277.89,3054944444
2001-06-03,1277.89,1278.42,1245.96,1260.67,2459000000
2001-06-10,1260.67,1286.62,1256.36,1264.96,2683888887
2001-06-17,1264.96,1264.96,1203.03,1214.36,3304805556
2001-06-24,1214.36,1240.24,1207.71,1225.35,3545900001
2001-07-01,1225.35,1237.29,1204.64,1224.38,3650422223
2001-07-08,1224.42,1239.78,1188.74,1190.59,2078894445
2001-07-15,1190.59,1218.54,1168.46,1215.68,3449611110
2001-07-22,1215.68,1225.04,1196.14,1210.85,3393666667
2001-07-29,1210.85,1215.22,1165.54,1205.82,3164166667
2001-08-05,1205.82,1226.27,1200.41,1214.35,3076000000
2001-08-12,1214.35,1214.35,1169.55,1190.16,2785222221
2001-08-19,1190.16,1198.79,1156.07,1161.97,2720833333
2001-08-26,1161.97,1185.15,1153.34,1184.93,2821833334
2001-09-02,1184.93,1186.85,1124.87,1133.58,2705833334
2001-09-09,1133.58,1155.4,1082.12,1085.78,2970444445
2001-09-16,1085.78,1096.94,1073.15,1092.54,709222222
2001-09-23,1092.54,1092.54,944.75,965.8,5791050000
2001-09-30,965.8,1040.94,965.8,1040.94,4432222222
2001-10-07,1040.94,1084.12,1026.76,1071.38,3903777778
2001-10-14,1071.37,1099.16,1052.76,1091.65,3641766667
2001-10-21,1091.65,1107.12,1057.24,1073.48,3469555556
2001-10-28,1073.48,1110.61,1065.64,1104.61,3537833333
2001-11-04,1104.61,1104.61,1053.61,1087.2,3441833334
2001-11-11,1087.2,1135.75,1087.2,1120.31,3692388890
2001-11-18,1120.31,1148.28,1098.32,1138.65,3665000001
2001-11-25,1138.65,1152.45,1129.78,1150.34,2270333333
2001-12-02,1150.34,1163.38,1125.51,1139.45,3644888889
2001-12-09,1139.45,1173.62,1125.78,1158.31,3901555555
2001-12-16,1158.31,1158.31,1114.53,1123.09,3807722223
2001-12-23,1123.09,1152.44,1122.66,1144.89,4046555555
2001-12-30,1144.89,1164.64,1144.62,1161.02,1680261111
2002-01-06,1161.02,1176.55,1136.23,1172.51,2792500001
2002-01-13,1172.51,1176.97,1145.45,1145.6,3627777778
2002-01-20,1145.6,1148.81,1124.45,1127.58,3816222222
2002-01-27,1127.58,1139.5,1117.43,1133.28,3160388890
2002-02-03,1133.28,1138.63,1081.66,1122.2,4412555556
2002-02-10,1122.2,1122.2,1077.78,1096.22,4275111111
2002-02-17,1096.22,1124.72,1094.68,1104.18,3389555555
2002-02-24,1104.18,1104.18,1074.36,1089.84,3011888890
2002-03-03,1089.84,1131.79,1089.84,1131.78,3843944444
2002-03-10,1131.78,1172.76,1130.93,1164.31,4230166666
2002-03-17,1164.31,1173.03,1151.01,1166.16,3650722222
2002-03-24,1166.16,1173.94,1139.48,1148.7,3506611110
2002-03-31,1148.7,1154.45,1131.61,1147.39,2560666667
2002-04-07,1147.39,1147.84,1119.49,1122.73,3245166666
2002-04-14,1122.73,1131.76,1102.42,1111.01,3647944444
2002-04-21,1111.01,1133,1099.41,1125.17,3546055555
2002-04-28,1125.17,1125.17,1076.31,1076.32,3797277778
2002-05-05,1076.32,1091.42,1063.46,1073.43,3912888889
2002-05-12,1073.43,1088.92,1048.96,1054.99,3502333334
2002-05-19,1054.99,1106.59,1053.9,1106.59,3585722222
2002-05-26,1106.59,1106.59,1075.64,1083.82,3002722222
2002-06-02,1083.82,1085.98,1054.26,1067.14,2579000000
2002-06-09,1067.14,1070.74,1012.49,1027.53,3907666667
2002-06-16,1027.53,1039.04,981.63,1007.27,3993788889
2002-06-23,1007.27,1040.83,985.65,989.14,3695944445
2002-06-30,989.14,1005.88,952.92,989.82,5058994444
2002-07-07,989.82,994.46,934.87,989.03,3042055556
2002-07-14,989.03,993.56,900.94,921.39,4465600000
2002-07-21,921.39,926.52,842.07,847.75,6319666666
2002-07-28,847.76,854.13,775.68,852.84,6491911111
2002-08-04,852.84,911.64,852.84,864.24,4924666666
2002-08-11,864.24,913.95,833.44,908.64,4095333333
2002-08-18,908.64,935.38,876.2,928.77,3687999999
2002-08-25,928.77,965,927.21,940.86,3558833333
2002-09-01,940.86,955.82,903.33,916.07,3151222222
2002-09-08,916.07,916.07,870.5,893.92,2915388890
2002-09-15,893.92,924.02,877.05,889.81,3125666666
2002-09-22,889.81,902.68,839.09,845.39,4037666667
2002-09-29,845.39,856.6,817.38,827.37,4366744445
2002-10-06,827.37,851.93,794.1,800.58,4823388889
2002-10-13,800.58,843.27,768.63,835.32,5191288889
2002-10-20,835.32,886.68,828.37,884.39,4413772223
2002-10-27,884.39,902.94,873.06,897.65,4239483334
2002-11-03,897.65,907.44,867.91,900.96,4125722222
2002-11-10,900.96,925.66,891.62,894.74,4215222222
2002-11-17,894.74,910.21,872.05,909.83,3818111111
2002-11-24,909.83,937.28,893.09,930.55,4544000000
2002-12-01,930.55,941.82,912.1,936.31,2839644445
2002-12-08,936.31,954.28,895.96,912.23,3989222223
2002-12-15,912.23,912.23,888.48,889.48,3599222222
2002-12-22,889.48,911.22,880.32,895.76,3965683332
2002-12-29,895.74,903.89,873.62,875.4,1694394444
2003-01-05,875.4,911.25,869.45,908.59,2503500000
2003-01-12,908.59,932.89,908.32,927.57,4163555554
2003-01-19,927.57,935.05,899.02,901.78,3944777778
2003-01-26,901.78,906,859.71,861.4,3452972222
2003-02-02,861.4,868.72,840.34,855.7,4210683333
2003-02-09,855.7,864.64,826.7,829.69,3815888888
2003-02-16,829.69,843.02,806.29,834.89,3722000000
2003-02-23,834.89,852.87,831.48,848.17,2732611112
2003-03-02,848.17,848.17,818.54,841.15,3749111111
2003-03-09,841.15,852.34,811.23,828.89,3592166667
2003-03-16,828.89,841.39,788.9,833.27,4256055556
2003-03-23,833.27,895.9,827.17,895.79,4473183334
2003-03-30,895.79,895.79,858.09,863.5,3558888889
2003-04-06,863.5,885.89,843.68,878.85,3959777778
2003-04-13,878.85,904.89,862.76,868.3,3577777777
2003-04-20,868.3,896.77,868.3,893.58,3116333333
2003-04-27,893.58,919.74,886.7,898.81,4111666666
2003-05-04,898.81,930.56,898.81,930.08,4188283334
2003-05-11,930.08,939.61,919.72,933.41,4074166666
2003-05-18,933.41,948.65,929.3,944.3,4007166667
2003-05-25,944.3,944.3,912.05,933.22,3882388889
2003-06-01,933.22,965.38,927.33,963.59,3592000000
2003-06-08,963.59,1007.69,963.59,987.76,4589833334
2003-06-15,987.76,1002.74,972.59,988.61,3848388888
2003-06-22,988.61,1015.33,988.61,995.69,4190333334
2003-06-29,995.69,995.69,973.8,976.22,3833777778
2003-07-06,976.22,995,962.1,985.7,2968111112
2003-07-13,985.7,1010.43,983.63,998.14,4050666666
2003-07-20,998.14,1015.41,978.6,993.32,4253388888
