Data,Otwarcie,Najwyzszy,Najnizszy,Close,Wolumen
2001-04-22,1427.35,1523.73,1403.81,1498.95,18079920
2001-04-29,1477.75,1491.19,1451.34,1472.13,17849456
2001-05-06,1474.11,1474.69,1413.35,1422.71,9784707
2001-05-13,1427.93,1445.43,1358.54,1416.04,15732996
2001-05-20,1415.92,1433.13,1376.5,1400.08,16589676
2001-05-27,1400.19,1501.44,1399.33,1476.2,23454172
2001-06-03,1469.44,1483.35,1436.03,1461.81,14827337
2001-06-10,1461.68,1461.68,1346.63,1347.22,20444521
2001-06-17,1340.62,1359.04,1296.37,1298.58,16837915
2001-06-24,1295.38,1316.5,1257.03,1303.39,17391630
2001-07-01,1297.6,1324.06,1260.36,1271.22,13228347
2001-07-08,1269.72,1272.97,1176.93,1219.06,18846574
2001-07-15,1219.56,1220.13,1138.49,1200.31,24934881
2001-07-22,1198.08,1228.93,1137.3,1137.3,17470471
2001-07-29,1137.83,1186.68,1114.83,1184.3,17824315
2001-08-05,1187.21,1201.43,1159.25,1182.44,24290999
2001-08-12,1186.37,1199.19,1113.58,1119.76,16229116
2001-08-19,1120.03,1130.08,1053.03,1062.23,10227541
2001-08-26,1058.01,1133.23,1055.36,1133.23,14177752
2001-09-02,1148.09,1156.22,1107.54,1138.84,12337834
2001-09-09,1138.89,1198.51,1134.56,1170,19593931
2001-09-16,1155.96,1170.87,1059.87,1063.46,19392897
2001-09-23,1040.25,1067.92,987.84,1001.71,16771469
2001-09-30,1015.69,1025.08,977.98,1022.62,20620900
2001-10-07,1019.55,1020.12,987.91,1001.02,17956790
2001-10-14,992.36,1175.23,986.27,1144.44,43304838
2001-10-21,1131.67,1237.06,1119.52,1157.37,39100501
2001-10-28,1157.21,1278.54,1154.15,1260.53,34360356
2001-11-04,1268.48,1298.68,1210.52,1223.77,28548808
2001-11-11,1219.51,1269.41,1197.4,1254.05,23702203
2001-11-18,1258.03,1352.64,1231.09,1325.13,33694963
2001-11-25,1334.71,1343.03,1238.32,1272.86,26278690
2001-12-02,1270.68,1285.94,1251.8,1252.05,22279034
2001-12-09,1237.85,1298.93,1224.21,1276.2,21892215
2001-12-16,1258.23,1263.97,1146.3,1172.79,42253837
2001-12-23,1170.24,1219.14,1167.34,1195.6,42569000
2001-12-30,1198.41,1207.07,1193.16,1207.07,9007608
2002-01-06,1204.18,1352.84,1200.32,1332.58,25490563
2002-01-13,1324.93,1441.83,1314.67,1402.42,44353086
2002-01-20,1379.62,1440.33,1352.7,1416.49,28010401
2002-01-27,1406.42,1482.44,1392.55,1464.1,22011868
2002-02-03,1483.61,1486.23,1397.71,1427.72,23099363
2002-02-10,1405.81,1415.13,1349.91,1369.84,27115968
2002-02-17,1382.44,1395.99,1359.16,1371.71,24507952
2002-02-24,1370.12,1370.12,1327.77,1333.43,18819514
2002-03-03,1338.03,1390.01,1335.87,1390.01,21276202
2002-03-10,1416.96,1419.17,1370.42,1407.66,23019062
2002-03-17,1400.85,1405.09,1336.81,1367.11,13983624
2002-03-24,1364.28,1367.67,1309.68,1356.99,24980503
2002-03-31,1361.45,1364.91,1305.96,1339.05,20973829
2002-04-07,1338.01,1339.39,1299.32,1337.44,13645314
2002-04-14,1329.18,1373.35,1324.73,1335.82,21948087
2002-04-21,1332.53,1364.1,1310.4,1313.37,22913462
2002-04-28,1303.09,1334.43,1288.99,1329.27,20463880
2002-05-05,1327.61,1335.97,1305.48,1305.48,11271344
2002-05-12,1307.62,1310.53,1281.54,1296.44,13713390
2002-05-19,1294.26,1414.21,1293.87,1385.85,33874340
2002-05-26,1381.73,1390.49,1357.04,1376.75,18922871
2002-06-02,1369.1,1391.36,1365.16,1369.37,12691515
